"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.235041,0.00312444444444,0.563996358025
0.1,0.233938,0.0326597222222,0.472479567901
0.15,0.236972,0.063484,0.234091203704
0.2,0.241987,0.063825,-0.13517941358
0.25,0.244124,0.0460744444444,-0.441444783951
0.3,0.247192,0.0131466666667,-0.58528
0.35,0.245796,-0.0249733333333,-0.458041666667
0.4,0.243555,-0.0404638888889,-0.168388580247
0.45,0.240884,-0.0377233333333,0.052075617284
0.5,0.239488,-0.0267616666667,0.101115123457
0.55,0.238609,-0.02255,0.0278929012346
0.6,0.237454,-0.0237072222222,-0.0720419753086
0.65,0.236403,-0.0297961111111,-0.177529012346
0.7,0.234714,-0.0415283333333,-0.281860493827
0.75,0.232387,-0.0578838888889,-0.380450617284
0.8,0.229181,-0.0799222222222,-0.451533333333
0.85,0.224821,-0.108463888889,-0.409875
0.9,0.217806,-0.12697,-0.253674691358
0.95,0.211361,-0.131011111111,-0.137657407407
1,0.204932,-0.136491666667,-0.0973512345679
1.05,0.197728,-0.141865,-0.0410611111111
1.1,0.190506,-0.141807222222,0.045475308642
1.15,0.183733,-0.141499444444,0.193958333333
1.2,0.175167,-0.121575,0.316524074074
1.25,0.171358,-0.0971955555556,0.232542283951
1.3,0.167394,-0.103465,0.232050925926
1.35,0.159604,-0.0858833333333,0.422827160494
1.4,0.157898,-0.0530694444444,0.479417592593
1.45,0.155089,-0.0311344444444,0.404216358025
1.5,0.154848,-0.0122294444444,0.290327777778
1.55,0.154106,-0.000690555555556,0.149769135802
1.6,0.155296,0.000986111111111,0.049100617284
1.65,0.154244,0.000545,0.0197722222222
1.7,0.155158,0.00253666666667,0.0113966049383
1.75,0.154692,0.00182833333333,0.00737716049383
1.8,0.155313,0.00184888888889,0.0216148148148
1.85,0.154589,0.005685,0.00581820987654
1.9,0.156157,0.005035,-0.050362654321
1.95,0.155502,-0.00275333333333,-0.0455046296296
2,0.155365,-0.00192055555556,0.0163080246914
2.05,0.155382,-0.00157111111111,0.125197530864
2.1,0.155106,0.00430888888889,0.397115740741
2.15,0.155365,0.0265777777778,0.891549691358
2.2,0.156071,0.0863322222222,1.46155308642
2.25,0.161293,0.193956666667,1.59170740741
2.3,0.176787,0.278075555556,1.09572314815
2.35,0.192385,0.301514444444,0.572228395062
2.4,0.206724,0.318882222222,0.318755864198
2.45,0.224114,0.333209444444,0.107752160494
2.5,0.240901,0.331325,-0.112771604938
2.55,0.257378,0.322713888889,-0.34202962963
2.6,0.273992,0.296446111111,-0.530443209877
2.65,0.28759,0.260293888889,-0.524385802469
2.7,0.299362,0.235885555556,-0.353784259259
2.75,0.310426,0.22651,-0.194509259259
2.8,0.321956,0.221087222222,-0.123203395062
2.85,0.332556,0.216033888889,-0.104703703704
2.9,0.343466,0.212294444444,-0.130155864198
2.95,0.354065,0.203586111111,-0.182662345679
3,0.363716,0.195325555556,-0.285049382716
3.05,0.373695,0.181544444444,-0.520720679012
3.1,0.382744,0.148483333333,-0.849012654321
3.15,0.389638,0.0927533333333,-1.0937941358
3.2,0.392275,0.0290755555556,-1.11629135802
3.25,0.392171,-0.0267666666667,-0.93035
3.3,0.389465,-0.0739005555556,-0.527366975309
3.35,0.383071,-0.0849483333333,-0.0278635802469
3.4,0.379555,-0.0662566666667,0.271255864198
3.45,0.376677,-0.0468755555556,0.34129382716
3.5,0.37504,-0.0295472222222,0.318961728395
3.55,0.37373,-0.0142211111111,0.259588888889
3.6,0.373747,-0.00213833333333,0.169397530864
3.65,0.373833,0.00293777777778,0.0726672839506
3.7,0.374126,0.00488333333333,-0.0166114197531
3.75,0.374643,0.000318333333333,-0.0864385802469
3.8,0.374178,-0.00555944444444,-0.129896296296
3.85,0.373937,-0.0102833333333,-0.228216358025
3.9,0.37354,-0.0240794444444,-0.422096296296
3.95,0.371938,-0.0485722222222,-0.707252469136
4,0.369473,-0.0925544444444,-1.03445123457
4.05,0.363406,-0.15387,-1.29656080247
4.1,0.354944,-0.231578888889,-1.34364012346
4.15,0.339915,-0.302117222222,-1.09620030864
4.2,0.323404,-0.346033888889,-0.711636419753
4.25,0.304722,-0.372461111111,-0.302303703704
4.3,0.285574,-0.379846666667,0.167509876543
4.35,0.265392,-0.356917222222,0.618669753086
4.4,0.248553,-0.307010555556,0.82180617284
4.45,0.234714,-0.257564444444,0.67664537037
4.5,0.224166,-0.232643333333,0.376264814815
4.55,0.212429,-0.228995,0.214943518519
4.6,0.20033,-0.214956666667,0.172322222222
4.65,0.191868,-0.212927222222,0.214762654321
4.7,0.179424,-0.213203888889,0.607302777778
4.75,0.167067,-0.150312777778,0.946959444444
4.8,0.165137,-0.0978922222222,0.884598703704
4.85,0.15745,-0.0505733333333,0.572647654321
4.9,0.161604,-0.0352963333333,0.16122462963
4.95,0.155675,-0.0520272222222,0.0429227160494
5,0.154365,-0.0406577777778,0.106840246914
