Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
0.090372646,23.41180038,-21.36219978,-17.07999992,36.00253289
0.100372646,23.41180038,-21.36219978,-17.07999992,36.00253289
0.111298584,23.55819893,-20.78879929,-17.86079979,36.14098894
0.121298584,23.4484005,-20.93519974,-17.64119911,36.04610908
0.131298584,23.31419945,-21.02059937,-17.54360008,35.96102609
0.141298584,23.26539993,-21.08160019,-17.49480057,35.9413515
0.151298584,23.19219971,-21.1182003,-17.43379974,35.88584519
0.161298584,23.13119888,-21.19140053,-17.49480057,35.91929655
0.171298584,23.02140045,-21.20359993,-17.5802002,35.89764571
0.181298584,22.92379951,-21.17919922,-17.65340042,35.85668153
0.191298584,22.80179977,-21.4109993,-17.49480057,35.83881989
0.201298584,22.78960037,-21.45979881,-17.604599,35.9139354
0.211298584,22.82620049,-21.50860023,-18.10479927,36.21379667
0.221298584,22.80179977,-21.48419952,-18.14139938,36.20225509
0.231298584,22.80179977,-21.44759941,-18.1901989,36.20504011
0.241298584,22.82620049,-21.37439919,-18.16580009,36.16485396
0.251298584,22.80179977,-21.35000038,-18.08040047,36.09218018
0.261298584,22.82620049,-21.36219978,-18.04380035,36.09650592
0.271298584,22.86279869,-21.38660049,-18.01939964,36.12191867
0.281298584,22.86279869,-21.31340027,-17.95839882,36.04819944
0.291298584,22.83839989,-21.28899956,-17.50699997,35.79537763
0.301298584,22.92379951,-21.31340027,-17.47039986,35.84656868
0.311298584,22.99699974,-21.43540001,-17.55579948,36.00756124
0.321298584,23.05799866,-21.44759941,-17.47039986,36.0122992
0.331298584,23.10680008,-21.48419952,-17.48259926,36.07126718
0.341298584,23.10680008,-21.52079964,-17.48259926,36.09307834
0.351298584,23.08239937,-21.44759941,-17.39719963,35.99248861
0.361298584,23.09459877,-21.45979881,-17.38500023,36.0016901
0.371298584,23.09459877,-21.44759941,-17.38500023,35.99441965
0.381298584,23.05799866,-21.44759941,-17.34840012,35.95327258
0.391298584,23.14340019,-21.37439919,-17.18980026,35.8883149
0.401298584,23.11899948,-21.3987999,-17.22640038,35.9046744
0.411298584,23.18000031,-21.4109993,-17.22640038,35.9512472
0.421298584,23.18000031,-21.37439919,-17.27519989,35.95288425
0.431298584,23.15559959,-21.45979881,-17.3118,36.00559925
0.441298584,23.167799,-21.45979881,-17.37279892,36.04280813
0.451298584,23.24099922,-21.45979881,-17.33619881,36.07229961
0.461298584,23.24099922,-21.44759941,-17.34840012,36.07091005
0.471298584,23.05799866,-21.43540001,-17.38500023,35.96367485
0.481298584,23.02140045,-21.4231987,-17.38500023,35.93294525
0.491298584,22.96039963,-21.43540001,-17.45820045,35.93668165
0.501298584,22.94820023,-21.45979881,-17.42160034,35.92568743
0.511298584,22.96039963,-21.4109993,-17.38500023,35.88661415
0.521298584,22.86279869,-21.58180046,-17.71439934,36.08713925
0.531298584,22.78960037,-21.60619926,-17.67779922,36.03745714
0.541298584,22.72859955,-21.67939949,-17.79979897,36.10288691
0.551298584,22.67980003,-21.7038002,-17.83639908,36.10492217
0.561298584,22.76519966,-21.7038002,-17.83639908,36.15862817
0.571298584,22.74079895,-21.72819901,-17.79979897,36.13988672
0.581298584,22.75300026,-21.72819901,-17.86079979,36.17764257
0.591298584,22.69199944,-21.72819901,-17.93400002,36.17554183
0.601298584,22.72859955,-21.54520035,-17.604599,35.92640813
0.611298584,22.77739906,-21.50860023,-17.66559982,35.96530563
0.621298584,22.77739906,-21.47200012,-17.5923996,35.90750926
0.631298584,22.82620049,-21.43540001,-17.56799889,35.90468475
0.641298584,22.72859955,-21.43540001,-17.62899971,35.87265312
0.651298584,22.81399918,-21.43540001,-17.75099945,35.98684362
0.661298584,22.82620049,-21.38660049,-17.71439934,35.94749022
0.671298584,22.8993988,-21.43540001,-17.72659874,36.02903193
0.681298584,22.875,-21.45979881,-17.71439934,36.02205622
0.691298584,22.85059929,-21.54520035,-17.82419968,36.1115998
0.701298584,22.82620049,-21.56959915,-17.87299919,36.13484656
0.711298584,22.82620049,-21.61839867,-17.8973999,36.1760627
0.721298584,22.80179977,-21.77700043,-17.92179871,36.26776378
0.731298584,22.74079895,-21.78919983,-17.87299919,36.21266721
0.741298584,22.75300026,-21.87459946,-17.83639908,36.25374814
0.751298584,22.67980003,-21.93560028,-17.84860039,36.25074379
0.761298584,22.66759872,-21.97220039,-17.81200027,36.24727543
0.771298584,22.63099861,-21.93560028,-17.71439934,36.15428884
0.781298584,22.74079895,-22.03319931,-17.75099945,36.30018995
0.791298584,22.76519966,-22.02099991,-17.72659874,36.29615759
0.801298584,22.76519966,-21.87459946,-17.71439934,36.20155191
0.811298584,22.75300026,-21.89900017,-17.71439934,36.20863396
0.821298584,22.74079895,-21.94779968,-17.86079979,36.30231421
0.831298584,22.81399918,-21.77700043,-17.98279953,36.30561093
0.841298584,22.875,-21.75259972,-18.03159904,36.3535388
0.851298584,22.80179977,-21.7159996,-18.04380035,36.29167181
0.861298584,22.71640015,-21.63059998,-18.04380035,36.18696481
0.871298584,22.69199944,-21.63059998,-18.09259987,36.19602
0.881298584,22.64319992,-21.65499878,-18.11700058,36.1922531
0.891298584,22.61879921,-21.61839867,-18.08040047,36.13676963
0.901298584,22.63099861,-21.53299904,-18.00720024,36.05678031
0.911298584,22.48460007,-21.63059998,-17.87299919,35.9566989
0.921298584,22.47239876,-21.64279938,-17.87299919,35.9564121
0.931298584,22.52120018,-21.66720009,-17.95839882,36.04408558
0.941298584,22.54559898,-21.64279938,-17.98279953,36.05684231
0.951298584,22.53339958,-21.64279938,-18.00720024,36.06139379
0.961298584,22.54559898,-21.61839867,-17.98279953,36.04220128
0.971298584,22.52120018,-21.59399986,-17.94619942,35.99404619
0.981298584,22.47239876,-21.59399986,-17.93400002,35.95744558
0.991298584,22.55780029,-21.65499878,-17.93400002,36.04749205
1.001298584,22.52120018,-21.67939949,-17.92179871,36.03320259
1.011298584,22.61879921,-21.67939949,-17.79979897,36.03386301
1.021298584,22.54559898,-21.65499878,-17.77540016,35.96119932
1.031298584,22.50899887,-21.63059998,-17.78759956,35.92960595
1.041298584,22.5821991,-21.61839867,-17.73880005,35.94406633
1.051298584,22.59440041,-21.67939949,-17.81200027,36.02458391
1.061298584,22.60659981,-21.66720009,-17.84860039,36.04300834
1.071298584,22.56999969,-21.60619926,-17.81200027,35.96526222
1.081298584,22.65539932,-21.65499878,-17.9095993,36.09653498
1.091298584,22.50899887,-21.63059998,-17.8852005,35.97802499
1.101298584,22.49679947,-21.66720009,-17.93400002,36.01668922
1.111298584,22.47239876,-21.69159889,-17.8852005,35.99186805
1.121298584,22.48460007,-21.72819901,-17.95839882,36.0579528
1.131298584,22.42359924,-21.67939949,-17.95839882,35.99053005
1.141298584,22.38699913,-21.67939949,-18.4829998,36.23251818
1.151298584,22.38699913,-21.7038002,-18.60499954,36.30948473
1.161298584,22.2894001,-21.61839867,-18.58059883,36.18578686
1.171298584,22.38699913,-21.60619926,-18.62940025,36.26375781
1.181298584,22.47239876,-21.60619926,-18.53179932,36.26657054
1.191298584,22.54559898,-21.64279938,-18.51959991,36.32754299
1.201298584,22.47239876,-21.65499878,-18.42199898,36.23972578
1.211298584,22.59440041,-21.63059998,-18.40979958,36.29477243
1.221298584,22.60659981,-21.66720009,-17.79979897,36.01886669
1.231298584,22.70419884,-21.69159889,-17.64119911,36.01691288
1.241298584,22.74079895,-21.7159996,-17.53139877,36.00109052
1.251298584,22.71640015,-21.76479912,-17.604599,36.05084218
1.261298584,22.70419884,-21.80139923,-17.604599,36.06526805
1.271298584,22.66759872,-21.78919983,-17.56799889,36.01699385
1.281298584,22.70419884,-21.78919983,-17.604599,36.05789484
1.291298584,22.65539932,-21.86240005,-17.54360008,36.04177518
1.301298584,22.65539932,-21.91119957,-17.53139877,36.06546448
1.311298584,22.61879921,-21.94779968,-17.56799889,36.0825522
1.321298584,22.65539932,-21.91119957,-17.56799889,36.08326994
1.331298584,22.70419884,-21.91119957,-17.44599915,36.05473891
1.341298584,22.76519966,-21.85019875,-17.44599915,36.05618376
1.351298584,22.86279869,-21.83799934,-17.43379974,36.10461401
1.361298584,22.86279869,-21.78919983,-17.45820045,36.08691669
1.371298584,22.81399918,-21.78919983,-17.45820045,36.05601962
1.381298584,22.82620049,-21.7159996,-17.43379974,36.0077414
1.391298584,22.77739906,-21.66720009,-17.44599915,35.95330797
1.401298584,22.69199944,-21.72819901,-17.44599915,35.93611493
1.411298584,22.66759872,-21.74040031,-17.49480057,35.95181615
1.421298584,22.59440041,-21.75259972,-17.53139877,35.93094025
1.431298584,22.59440041,-21.74040031,-17.62899971,35.97128808
1.441298584,22.56999969,-21.76479912,-17.65340042,35.98268908
